time_utc,side,reason,expected_px,fill_px,slippage_pct,notional,units,pnl_acct_pct,balance
2024-01-28 04:00:00+00:00,BUY,signal,42720.32,42720.32,+0.0000%,790.60,0.01850649,+0.0000%,11870.13
2024-01-28 06:00:00+00:00,SELL,signal,42720.32,42413.27,+0.0000%,784.92,0.01850649,-0.9172%,12648.58
2024-01-28 09:00:00+00:00,BUY,signal,42575.03,42575.03,+0.0000%,790.12,0.01855829,+0.0000%,11862.87
2024-01-28 11:00:00+00:00,SELL,signal,42575.03,42471.98,+0.0000%,788.21,0.01855829,-0.4415%,12648.38
2024-01-29 15:00:00+00:00,BUY,signal,42641.75,42641.75,+0.0000%,789.89,0.01852380,+0.0000%,11859.38
2024-01-31 09:00:00+00:00,SELL,signal,42641.75,42646.00,+0.0000%,789.97,0.01852380,-0.1900%,12648.63
2024-01-31 13:00:00+00:00,BUY,signal,42803.92,42803.92,+0.0000%,789.79,0.01845128,+0.0000%,11857.88
2024-01-31 20:00:00+00:00,SELL,signal,42803.92,42541.18,+0.0000%,784.94,0.01845128,-0.8125%,12637.18
2024-02-01 17:00:00+00:00,BUY,signal,42924.00,42924.00,+0.0000%,789.36,0.01838970,+0.0000%,11851.45
2024-02-01 18:00:00+00:00,SELL,signal,42924.00,42847.06,+0.0000%,787.94,0.01838970,-0.3788%,12637.20
2024-02-01 19:00:00+00:00,BUY,signal,43218.94,43218.94,+0.0000%,789.16,0.01825959,+0.0000%,11848.46
2024-02-02 13:00:00+00:00,SELL,signal,43218.94,42694.01,+0.0000%,779.58,0.01825959,-1.4121%,12617.67
2024-02-02 15:00:00+00:00,BUY,signal,43242.09,43242.09,+0.0000%,788.42,0.01823263,+0.0000%,11837.31
2024-02-04 05:00:00+00:00,SELL,signal,43242.09,42892.38,+0.0000%,782.04,0.01823263,-1.0070%,12612.19
2024-02-04 09:00:00+00:00,BUY,signal,42942.73,42942.73,+0.0000%,787.89,0.01834741,+0.0000%,11829.36
2024-02-04 14:00:00+00:00,SELL,signal,42942.73,42874.00,+0.0000%,786.63,0.01834741,-0.3596%,12613.94
2024-02-04 15:00:00+00:00,BUY,signal,42943.21,42943.21,+0.0000%,787.70,0.01834281,+0.0000%,11826.52
2024-02-04 18:00:00+00:00,SELL,signal,42943.21,42794.01,+0.0000%,784.96,0.01834281,-0.5466%,12607.96
2024-02-05 07:00:00+00:00,BUY,signal,43071.88,43071.88,+0.0000%,787.41,0.01828135,+0.0000%,11822.21
2024-02-05 15:00:00+00:00,SELL,signal,43071.88,42644.03,+0.0000%,779.59,0.01828135,-1.1913%,12593.20
2024-02-06 07:00:00+00:00,BUY,signal,42890.00,42890.00,+0.0000%,786.79,0.01834429,+0.0000%,11812.83
2024-02-06 10:00:00+00:00,SELL,signal,42890.00,42799.50,+0.0000%,785.13,0.01834429,-0.4105%,12595.51
2024-02-06 13:00:00+00:00,BUY,signal,42881.33,42881.33,+0.0000%,786.57,0.01834298,+0.0000%,11809.59
2024-02-07 03:00:00+00:00,SELL,signal,42881.33,42800.00,+0.0000%,785.08,0.01834298,-0.3892%,12592.40
2024-02-07 04:00:00+00:00,BUY,signal,42929.18,42929.18,+0.0000%,786.37,0.01831778,+0.0000%,11806.53
2024-03-17 00:00:00+00:00,SELL,signal,42929.18,65220.55,+0.0000%,1194.70,0.01831778,+51.6222%,13408.36
2024-03-26 05:00:00+00:00,BUY,signal,70300.00,70300.00,+0.0000%,813.43,0.01157084,+0.0000%,12212.85
2024-04-03 00:00:00+00:00,SELL,signal,70300.00,65387.99,+0.0000%,756.59,0.01157084,-7.1731%,12911.85
2024-04-08 03:00:00+00:00,BUY,signal,69458.95,69458.95,+0.0000%,809.54,0.01165494,+0.0000%,12154.45
2024-04-13 17:00:00+00:00,SELL,signal,69458.95,66730.87,+0.0000%,777.74,0.01165494,-4.1197%,12899.62
2024-04-23 08:00:00+00:00,BUY,signal,66215.07,66215.07,+0.0000%,807.32,0.01219234,+0.0000%,12121.06
2024-04-24 13:00:00+00:00,SELL,signal,66215.07,66054.99,+0.0000%,805.36,0.01219234,-0.4412%,12923.67
2024-05-15 18:00:00+00:00,BUY,signal,65717.28,65717.28,+0.0000%,807.08,0.01228108,+0.0000%,12117.50
2024-05-16 16:00:00+00:00,SELL,signal,65717.28,65154.99,+0.0000%,800.17,0.01228108,-1.0538%,12909.97
2024-05-16 21:00:00+00:00,BUY,signal,65461.99,65461.99,+0.0000%,806.51,0.01232031,+0.0000%,12108.99
2024-05-16 23:00:00+00:00,SELL,signal,65461.99,65235.21,+0.0000%,803.72,0.01232031,-0.5456%,12909.11
2024-05-17 00:00:00+00:00,BUY,signal,65508.69,65508.69,+0.0000%,806.22,0.01230705,+0.0000%,12104.58
2024-05-29 22:00:00+00:00,SELL,signal,65508.69,67680.01,+0.0000%,832.94,0.01230705,+3.1080%,12963.41
2024-06-04 07:00:00+00:00,BUY,signal,69013.63,69013.63,+0.0000%,807.89,0.01170623,+0.0000%,12129.66
2024-06-11 13:00:00+00:00,SELL,signal,69013.63,66812.00,+0.0000%,782.12,0.01170623,-3.3837%,12885.22
2024-07-16 01:00:00+00:00,BUY,signal,64848.08,64848.08,+0.0000%,806.07,0.01243008,+0.0000%,12102.30
2024-07-16 03:00:00+00:00,SELL,signal,64848.08,64752.14,+0.0000%,804.87,0.01243008,-0.3476%,12905.18
2024-07-16 15:00:00+00:00,BUY,signal,64878.24,64878.24,+0.0000%,805.88,0.01242142,+0.0000%,12099.50
2024-07-16 16:00:00+00:00,SELL,signal,64878.24,64500.00,+0.0000%,801.18,0.01242142,-0.7817%,12895.18
2024-07-16 18:00:00+00:00,BUY,signal,64795.44,64795.44,+0.0000%,805.46,0.01243082,+0.0000%,12093.19
2024-07-16 20:00:00+00:00,SELL,signal,64795.44,64651.82,+0.0000%,803.67,0.01243082,-0.4211%,12894.28
2024-07-16 23:00:00+00:00,BUY,signal,65043.99,65043.99,+0.0000%,805.23,0.01237984,+0.0000%,12089.80
2024-07-17 11:00:00+00:00,SELL,signal,65043.99,64723.73,+0.0000%,801.27,0.01237984,-0.6913%,12886.30
2024-07-17 13:00:00+00:00,BUY,signal,65141.95,65141.95,+0.0000%,804.86,0.01235552,+0.0000%,12084.22
2024-07-17 15:00:00+00:00,SELL,signal,65141.95,64724.01,+0.0000%,799.70,0.01235552,-0.8402%,12877.96
2024-07-18 03:00:00+00:00,BUY,signal,64865.08,64865.08,+0.0000%,804.41,0.01240131,+0.0000%,12077.45
